               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.015684,            0.010717,           0.0021027,             0.84494,             0.60645,             0.64906,             0.41849,            0.053643,            0.011147,            0.049693,           0.0075052,           0.0075052,           0.0075052
                 128,            0.015471,            0.010847,           0.0020294,             0.74718,             0.60788,             0.63857,             0.40196,            0.051857,            0.011425,            0.045759,           0.0074854,           0.0074854,           0.0074854
                 129,            0.015339,            0.010372,           0.0027193,             0.76338,             0.61387,             0.65309,             0.39028,            0.050366,            0.011101,            0.045486,           0.0074656,           0.0074656,           0.0074656
                 130,            0.015643,            0.010721,            0.002091,             0.83257,             0.62249,              0.6711,             0.40955,            0.051312,            0.010971,            0.047054,           0.0074458,           0.0074458,           0.0074458
                 131,            0.015001,            0.010527,           0.0023231,             0.66164,             0.64362,             0.68234,             0.42446,             0.04997,            0.010511,            0.043066,            0.007426,            0.007426,            0.007426
                 132,            0.015449,            0.010793,           0.0025682,             0.74107,             0.64448,              0.6884,             0.43829,            0.049402,            0.010144,            0.044199,           0.0074062,           0.0074062,           0.0074062
                 133,            0.015419,            0.011051,           0.0018337,             0.73317,             0.61373,             0.65233,             0.41241,            0.052022,             0.01071,            0.045277,           0.0073864,           0.0073864,           0.0073864
                 134,             0.01514,            0.010605,           0.0024215,             0.75396,             0.64958,             0.69859,             0.42897,            0.050563,            0.010339,            0.047894,           0.0073666,           0.0073666,           0.0073666
                 135,            0.015192,            0.010719,           0.0024617,             0.77539,              0.5837,             0.67325,             0.39485,            0.052392,             0.01142,            0.043929,           0.0073468,           0.0073468,           0.0073468
                 136,            0.015484,             0.01045,           0.0026996,             0.75898,             0.62916,             0.67258,             0.42453,            0.053127,            0.010759,            0.035128,            0.007327,            0.007327,            0.007327
                 137,            0.015362,            0.010686,           0.0022319,             0.73847,             0.59381,             0.62689,             0.38784,            0.052667,            0.011135,             0.04481,           0.0073072,           0.0073072,           0.0073072
                 138,            0.015348,            0.010745,            0.001574,             0.64991,             0.62801,             0.63061,             0.41146,            0.051338,            0.011599,            0.044458,           0.0072874,           0.0072874,           0.0072874
                 139,            0.015206,            0.010386,           0.0020516,             0.69831,             0.61039,             0.66846,              0.4126,            0.053466,            0.010781,            0.042659,           0.0072676,           0.0072676,           0.0072676
                 140,            0.015093,            0.010006,           0.0020429,             0.85154,             0.57468,             0.67546,             0.41806,            0.053373,            0.010986,            0.039642,           0.0072478,           0.0072478,           0.0072478
                 141,            0.014798,            0.010232,            0.002105,             0.74936,             0.60653,              0.6692,              0.4007,            0.052316,            0.011344,            0.040137,            0.007228,            0.007228,            0.007228
                 142,            0.014866,            0.010058,           0.0019736,             0.82763,             0.61631,             0.69601,             0.42437,            0.051424,            0.010848,            0.044596,           0.0072082,           0.0072082,           0.0072082
                 143,            0.014789,            0.010556,           0.0021659,             0.72994,             0.65074,             0.69791,             0.42627,            0.052452,            0.010628,            0.042756,           0.0071884,           0.0071884,           0.0071884
                 144,            0.014962,            0.010161,           0.0016065,             0.82148,             0.59308,             0.66868,              0.4245,            0.051377,            0.011378,            0.047857,           0.0071686,           0.0071686,           0.0071686
                 145,            0.015234,            0.010418,           0.0020232,             0.70871,              0.6259,             0.65321,             0.40673,            0.052173,            0.011015,            0.043578,           0.0071488,           0.0071488,           0.0071488
                 146,            0.014867,            0.010129,           0.0017664,              0.8251,             0.55821,             0.63067,              0.4066,            0.051558,             0.01208,            0.045628,            0.007129,            0.007129,            0.007129
                 147,            0.014397,            0.010241,           0.0021943,             0.75023,              0.6384,              0.6786,             0.43047,            0.051264,            0.011582,             0.03921,           0.0071092,           0.0071092,           0.0071092
                 148,            0.015044,            0.010386,           0.0018603,             0.81479,              0.5974,             0.66271,             0.41539,            0.051072,            0.011772,             0.04349,           0.0070894,           0.0070894,           0.0070894
                 149,            0.014897,            0.010283,           0.0017212,             0.78226,             0.62065,             0.67127,              0.4189,            0.051507,            0.011331,            0.047932,           0.0070696,           0.0070696,           0.0070696
